10000 4 0
997      672	673	2595	1595
998      815	857	729	858
999      2304	2303	2305	2204
1000     2523	305	2524	147
1001     2208	2522	2163	2675
1002     365	1923	1911	2372
1003     1096	868	1762	2589
1004     1201	2447	2639	1917
1005     2107	2031	2236	2566
1006     769	875	770	771
1007     1124	1125	875	771
1008     835	1771	69	431
1009     476	1631	2401	1568
1010     2250	2249	1119	2252
1011     647	1347	368	2604
1012     387	924	2277	2064
1013     2094	2180	2093	2092
1014     850	2165	2303	2046
1015     715	1633	1653	2410
1016     2405	315	153	2354
1017     27		26	14	2248
1018     1600	648	2070	2561
1019     1617	1615	1616	2374
1020     2646	2622	2415	96
1021     2307	125	126	2629
1022     562	2448	1075	2290
1023     153	154	155	2405
1024     2155	2186	1768	2157
1025     1874	1784	2285	1193
1026     2215	2545	2095	2378
1027     323	1514	1550	2140
1028     2226	2256	863	2698
1029     1888	395	2114	1080
1030     573	1759	2211	2503
1031     1511	1512	200	2615
1032     2130	1233	2480	710
1033     1015	257	458	2274
1034     1207	2565	1012	2588
1035     490	1394	2259	1228
1036     95		2308	2415	2646
1037     170	2440	195	2073
1038     2361	1967	1489	700
1039     2365	2188	2190	2023
1040     2255	755	895	2151
1041     1583	1371	203	2411
1042     2068	2102	2108	2142
1043     2275	2276	19	1488
1044     1506	2541	1170	2573
1045     2499	73	417	72
1046     1036	183	295	294
1047     2147	2649	2234	2034
1048     2602	2604	647	1749
1049     1248	2647	2695	2606
1050     1227	1003	1228	2176
1051     1081	2375	2164	2137
1052     1709	427	2269	2560
1053     517	1601	2723	8
1054     2001	2509	52	2283
1055     1222	938	1909	331
1056     442	1319	2437	310
1057     744	2541	2573	745
1058     567	2208	80	566
1059     2655	256	2254	1402
1060     1420	2549	328	1419
1061     1115	660	2191	2355
1062     2073	194	1196	1755
1063     482	708	1934	1477
1064     2039	1354	2551	2021
1065     2677	1887	188	248
1066     2507	1312	1287	2342
1067     1745	1365	1776	2673
1068     2321	2670	2517	2318
1069     1354	1144	992	2716
1070     1222	938	331	330
1071     1282	2442	1802	2425
1072     2286	1922	791	1553
1073     1148	889	2049	1187
1074     730	2044	2004	2042
1075     885	1721	2339	1461
